goos: darwin
goarch: arm64
pkg: github.com/anacrolix/btree/bench
cpu: Apple M4 Max
BenchmarkErigon/UpsertBySize/n=10000/google-16         	    3367	    359072 ns/op	  275498 B/op	    1009 allocs/op
BenchmarkErigon/UpsertBySize/n=10000/google-16         	    3404	    355383 ns/op	  275497 B/op	    1009 allocs/op
BenchmarkErigon/UpsertBySize/n=100000/ajwerner-16      	     288	   4166018 ns/op	 1860356 B/op	    1590 allocs/op
BenchmarkErigon/UpsertBySize/n=100000/ajwerner-16      	     289	   4153006 ns/op	 1860318 B/op	    1590 allocs/op
BenchmarkErigon/UpsertBySize/n=100000/ajwerner-16      	     284	   4218786 ns/op	 1860382 B/op	    1590 allocs/op
BenchmarkErigon/UpsertBySize/n=100000/ajwerner-16      	     288	   4159817 ns/op	 1860352 B/op	    1590 allocs/op
BenchmarkErigon/UpsertBySize/n=100000/ajwerner-16      	     286	   4094883 ns/op	 1860329 B/op	    1590 allocs/op
BenchmarkErigon/UpsertBySize/n=100000/ajwerner-16      	     289	   4139061 ns/op	 1860370 B/op	    1590 allocs/op
BenchmarkErigon/UpsertBySize/n=100000/tidwall-16       	     512	   2355532 ns/op	 1862831 B/op	    6686 allocs/op
BenchmarkErigon/UpsertBySize/n=100000/tidwall-16       	     508	   2345139 ns/op	 1862833 B/op	    6686 allocs/op
BenchmarkErigon/UpsertBySize/n=100000/tidwall-16       	     506	   2365176 ns/op	 1862831 B/op	    6686 allocs/op
BenchmarkErigon/UpsertBySize/n=100000/tidwall-16       	     507	   2354537 ns/op	 1862832 B/op	    6686 allocs/op
BenchmarkErigon/UpsertBySize/n=100000/tidwall-16       	     512	   2346912 ns/op	 1862831 B/op	    6686 allocs/op
BenchmarkErigon/UpsertBySize/n=100000/tidwall-16       	     502	   2348969 ns/op	 1862832 B/op	    6686 allocs/op
BenchmarkErigon/UpsertBySize/n=100000/google-16        	     280	   4398007 ns/op	 2760696 B/op	    9906 allocs/op
BenchmarkErigon/UpsertBySize/n=100000/google-16        	     270	   4455420 ns/op	 2760693 B/op	    9906 allocs/op
BenchmarkErigon/UpsertBySize/n=100000/google-16        	     271	   4322843 ns/op	 2760697 B/op	    9906 allocs/op
BenchmarkErigon/UpsertBySize/n=100000/google-16        	     284	   4220812 ns/op	 2760699 B/op	    9906 allocs/op
BenchmarkErigon/UpsertBySize/n=100000/google-16        	     283	   4250986 ns/op	 2760690 B/op	    9906 allocs/op
BenchmarkErigon/UpsertBySize/n=100000/google-16        	     279	   4253577 ns/op	 2760697 B/op	    9906 allocs/op
BenchmarkErigon/DeleteBySize/n=100/ajwerner-16         	  605337	      1989 ns/op	      48 B/op	       1 allocs/op
BenchmarkErigon/DeleteBySize/n=100/ajwerner-16         	  615578	      1983 ns/op	      48 B/op	       1 allocs/op
BenchmarkErigon/DeleteBySize/n=100/ajwerner-16         	  613930	      1985 ns/op	      48 B/op	       1 allocs/op
BenchmarkErigon/DeleteBySize/n=100/ajwerner-16         	  625473	      1970 ns/op	      48 B/op	       1 allocs/op
BenchmarkErigon/DeleteBySize/n=100/ajwerner-16         	  622508	      1973 ns/op	      48 B/op	       1 allocs/op
BenchmarkErigon/DeleteBySize/n=100/ajwerner-16         	  616964	      1993 ns/op	      48 B/op	       1 allocs/op
BenchmarkErigon/DeleteBySize/n=100/tidwall-16          	  401698	      3000 ns/op	    3416 B/op	      21 allocs/op
BenchmarkErigon/DeleteBySize/n=100/tidwall-16          	  402746	      2954 ns/op	    3416 B/op	      21 allocs/op
BenchmarkErigon/DeleteBySize/n=100/tidwall-16          	  409430	      2979 ns/op	    3416 B/op	      21 allocs/op
BenchmarkErigon/DeleteBySize/n=100/tidwall-16          	  396054	      2959 ns/op	    3416 B/op	      21 allocs/op
BenchmarkErigon/DeleteBySize/n=100/tidwall-16          	  401265	      2969 ns/op	    3416 B/op	      21 allocs/op
BenchmarkErigon/DeleteBySize/n=100/tidwall-16          	  371533	      2965 ns/op	    3416 B/op	      21 allocs/op
BenchmarkErigon/DeleteBySize/n=100/google-16           	  275449	      4384 ns/op	    3232 B/op	      24 allocs/op
BenchmarkErigon/DeleteBySize/n=100/google-16           	  271378	      4440 ns/op	    3232 B/op	      24 allocs/op
BenchmarkErigon/DeleteBySize/n=100/google-16           	  268555	      4424 ns/op	    3232 B/op	      24 allocs/op
BenchmarkErigon/DeleteBySize/n=100/google-16           	  279196	      4431 ns/op	    3232 B/op	      24 allocs/op
BenchmarkErigon/DeleteBySize/n=100/google-16           	  274032	      4353 ns/op	    3232 B/op	      24 allocs/op
BenchmarkErigon/DeleteBySize/n=100/google-16           	  278546	      4404 ns/op	    3232 B/op	      24 allocs/op
BenchmarkErigon/DeleteBySize/n=1000/ajwerner-16        	   40954	     29338 ns/op	      48 B/op	       1 allocs/op
BenchmarkErigon/DeleteBySize/n=1000/ajwerner-16        	   41253	     29503 ns/op	      48 B/op	       1 allocs/op
BenchmarkErigon/DeleteBySize/n=1000/ajwerner-16        	   40939	     29277 ns/op	      48 B/op	       1 allocs/op
BenchmarkErigon/DeleteBySize/n=1000/ajwerner-16        	   41131	     29282 ns/op	      48 B/op	       1 allocs/op
BenchmarkErigon/DeleteBySize/n=1000/ajwerner-16        	   40956	     29341 ns/op	      48 B/op	       1 allocs/op
BenchmarkErigon/DeleteBySize/n=1000/ajwerner-16        	   41052	     29377 ns/op	      48 B/op	       1 allocs/op
BenchmarkErigon/DeleteBySize/n=1000/tidwall-16         	   35008	     34220 ns/op	   20024 B/op	      84 allocs/op
BenchmarkErigon/DeleteBySize/n=1000/tidwall-16         	   35114	     34252 ns/op	   20024 B/op	      84 allocs/op
BenchmarkErigon/DeleteBySize/n=1000/tidwall-16         	   34999	     34225 ns/op	   20024 B/op	      84 allocs/op
BenchmarkErigon/DeleteBySize/n=1000/tidwall-16         	   35020	     34443 ns/op	   20024 B/op	      84 allocs/op
BenchmarkErigon/DeleteBySize/n=1000/tidwall-16         	   34383	     34530 ns/op	   20024 B/op	      84 allocs/op
BenchmarkErigon/DeleteBySize/n=1000/tidwall-16         	   34549	     34633 ns/op	   20024 B/op	      84 allocs/op
BenchmarkErigon/DeleteBySize/n=1000/google-16          	   20794	     57604 ns/op	   27456 B/op	     115 allocs/op
BenchmarkErigon/DeleteBySize/n=1000/google-16          	   20854	     57872 ns/op	   27456 B/op	     115 allocs/op
BenchmarkErigon/DeleteBySize/n=1000/google-16          	   20580	     58235 ns/op	   27456 B/op	     115 allocs/op
BenchmarkErigon/DeleteBySize/n=1000/google-16          	   20768	     57671 ns/op	   27456 B/op	     115 allocs/op
BenchmarkErigon/DeleteBySize/n=1000/google-16          	   20839	     57650 ns/op	   27456 B/op	     115 allocs/op
BenchmarkErigon/DeleteBySize/n=1000/google-16          	   20836	     57544 ns/op	   27456 B/op	     115 allocs/op
BenchmarkErigon/DeleteBySize/n=10000/ajwerner-16       	    3284	    355854 ns/op	      53 B/op	       1 allocs/op
BenchmarkErigon/DeleteBySize/n=10000/ajwerner-16       	    3384	    358181 ns/op	      51 B/op	       1 allocs/op
BenchmarkErigon/DeleteBySize/n=10000/ajwerner-16       	    3338	    358591 ns/op	      52 B/op	       1 allocs/op
BenchmarkErigon/DeleteBySize/n=10000/ajwerner-16       	    3345	    357338 ns/op	      50 B/op	       1 allocs/op
BenchmarkErigon/DeleteBySize/n=10000/ajwerner-16       	    3350	    354209 ns/op	      50 B/op	       1 allocs/op
BenchmarkErigon/DeleteBySize/n=10000/ajwerner-16       	    3432	    356304 ns/op	      52 B/op	       1 allocs/op
BenchmarkErigon/DeleteBySize/n=10000/tidwall-16        	    2812	    430036 ns/op	  189145 B/op	     693 allocs/op
BenchmarkErigon/DeleteBySize/n=10000/tidwall-16        	    2802	    432480 ns/op	  189145 B/op	     693 allocs/op
BenchmarkErigon/DeleteBySize/n=10000/tidwall-16        	    2810	    430649 ns/op	  189145 B/op	     693 allocs/op
BenchmarkErigon/DeleteBySize/n=10000/tidwall-16        	    2782	    429155 ns/op	  189145 B/op	     693 allocs/op
BenchmarkErigon/DeleteBySize/n=10000/tidwall-16        	    2792	    430912 ns/op	  189144 B/op	     693 allocs/op
BenchmarkErigon/DeleteBySize/n=10000/tidwall-16        	    2671	    432632 ns/op	  189145 B/op	     693 allocs/op
BenchmarkErigon/DeleteBySize/n=10000/google-16         	    1620	    746093 ns/op	  275497 B/op	    1009 allocs/op
BenchmarkErigon/DeleteBySize/n=10000/google-16         	    1629	    747523 ns/op	  275497 B/op	    1009 allocs/op
BenchmarkErigon/DeleteBySize/n=10000/google-16         	    1608	    740160 ns/op	  275496 B/op	    1009 allocs/op
BenchmarkErigon/DeleteBySize/n=10000/google-16         	    1612	    743223 ns/op	  275497 B/op	    1009 allocs/op
BenchmarkErigon/DeleteBySize/n=10000/google-16         	    1623	    743970 ns/op	  275497 B/op	    1009 allocs/op
BenchmarkErigon/DeleteBySize/n=10000/google-16         	    1626	    737050 ns/op	  275497 B/op	    1009 allocs/op
BenchmarkErigon/DeleteBySize/n=100000/ajwerner-16      	     279	   4246725 ns/op	     112 B/op	       1 allocs/op
BenchmarkErigon/DeleteBySize/n=100000/ajwerner-16      	     286	   4187263 ns/op	     104 B/op	       1 allocs/op
BenchmarkErigon/DeleteBySize/n=100000/ajwerner-16      	     285	   4235229 ns/op	     104 B/op	       1 allocs/op
BenchmarkErigon/DeleteBySize/n=100000/ajwerner-16      	     282	   4237921 ns/op	      65 B/op	       1 allocs/op
BenchmarkErigon/DeleteBySize/n=100000/ajwerner-16      	     284	   4230402 ns/op	     104 B/op	       1 allocs/op
BenchmarkErigon/DeleteBySize/n=100000/ajwerner-16      	     282	   4245911 ns/op	     104 B/op	       1 allocs/op
BenchmarkErigon/DeleteBySize/n=100000/tidwall-16       	     240	   4971669 ns/op	 1865389 B/op	    6691 allocs/op
BenchmarkErigon/DeleteBySize/n=100000/tidwall-16       	     240	   4964836 ns/op	 1865390 B/op	    6691 allocs/op
BenchmarkErigon/DeleteBySize/n=100000/tidwall-16       	     242	   4950496 ns/op	 1865392 B/op	    6691 allocs/op
BenchmarkErigon/DeleteBySize/n=100000/tidwall-16       	     241	   4955403 ns/op	 1865390 B/op	    6691 allocs/op
BenchmarkErigon/DeleteBySize/n=100000/tidwall-16       	     241	   4953882 ns/op	 1865391 B/op	    6691 allocs/op
BenchmarkErigon/DeleteBySize/n=100000/tidwall-16       	     240	   4971109 ns/op	 1865390 B/op	    6691 allocs/op
BenchmarkErigon/DeleteBySize/n=100000/google-16        	     134	   8923176 ns/op	 2760697 B/op	    9906 allocs/op
BenchmarkErigon/DeleteBySize/n=100000/google-16        	     134	   8939610 ns/op	 2760694 B/op	    9906 allocs/op
BenchmarkErigon/DeleteBySize/n=100000/google-16        	     133	   8946915 ns/op	 2760697 B/op	    9906 allocs/op
BenchmarkErigon/DeleteBySize/n=100000/google-16        	     133	   8964483 ns/op	 2760694 B/op	    9906 allocs/op
BenchmarkErigon/DeleteBySize/n=100000/google-16        	     134	   8904259 ns/op	 2760694 B/op	    9906 allocs/op
